224.3;;;;
225.5;;;;
228.1;0;;;
230.2;176.1;;;
229.9;187.4;0;;
230.4;205.5;168.4;;
230.4;206.5;176;0;
231.3;207.3;194.2;167.6;
231.5;207.9;196.4;173.8;0
231.7;209.1;197.1;192.3;165.7
231.7;209.4;197.8;196.8;170.3
229.4;208.6;198.3;197.3;180.7
229;208.5;199.1;198.3;197
228.5;208;199.7;198.7;198.7
229.2;209.1;199.6;199.2;198.9
228.9;208.1;199.8;199;199.4
226.9;208.2;199.8;199.2;199.9
227;209.3;199.8;199.5;200.5
226.8;209;199.8;199.5;200.5
225.9;209.8;200.1;199.8;200.8
225.9;209.2;200.4;199.9;201
224.7;209.2;200.9;200.2;201.2
222.2;209.3;203.5;200.3;201.2
222.5;209.8;203.3;200.5;201.5
223.1;209.8;202;201.1;201.7
222.8;210.1;202.2;200.8;202.3
223.5;210.3;202.6;201;203.3
223;210.9;202.6;201.2;201.5
223.5;210.8;203.2;201.3;202
223.6;211.5;203.3;201.5;202.1
223.7;211;203.5;201.5;202.5
223.8;212;205.2;201.8;202.5
224.1;211.1;203.6;201.7;202.7
224.2;212.5;203.7;202;202.7
224.1;211.8;204.4;202.4;203
224.4;211.9;205.3;202.8;203.1
224.6;212;205.7;202.9;203.3
224.5;212.2;204.9;204.5;203.5
224.6;212.2;204.2;205.3;203.8
224.8;213;204.2;203.7;205.2
224.8;212.5;204.4;203.7;204.6
224.9;212.8;204.6;204;203.7
225.2;212.9;204.7;204.1;203.5
225.1;213;205.1;204.1;203.7
225.4;213.1;205;204.4;203.9
225.5;213.2;205.1;204.9;203.9